ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2016,BENCINA,56300,CHEVROLET,18950000.0,4,RM,ASISTIDA,PICK UP,AUTOMATICA,SILVERADO,NO,NO,NO,SI,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,"(40000, 60000]","(15000000, 20000000]",16.75731448949271,18483932.345515523
2016,DIESEL,79045,MITSUBISHI,11900000.0,4,IX REGION,ASISTIDA,CAMIONETA,MANUAL,L-200,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.292048958081757,11230986.928328918
2008,DIESEL,138000,SSANGYONG,7800000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,REXTON,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.86963429165982,7531415.236314787
2015,BENCINA,37000,GREAT WALL,6300000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,HAVAL H5,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.65606019136176,5793810.818171797
2014,DIESEL,115000,MERCEDES BENZ,14590000.0,5 o MAS,RM,ASISTIDA,FAMILIAR,AUTOMATICA,GLK 220,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,"(100000, 250000]","(10000000, 15000000]",16.49584692049897,15349158.49934609
2013,BENCINA,94719,CHEVROLET,5980000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,AUTOMATICA,CRUZE,NO,NO,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.603931125926815,5793810.818171797
2014,BENCINA,58000,KIA,8200000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,AUTOMATICA,SOUL,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.919644712234481,7585012.572879854
2016,BENCINA,48176,MERCEDES BENZ,18890000.0,5 o MAS,RM,,SEDAN,AUTOMATICA,E 200,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(15000000, 20000000]",16.754143239477692,18483932.345515523
2016,BENCINA,37000,CHEVROLET,6000000.0,5 o MAS,V REGION,,HATCHBACK,MANUAL,SPARK,NO,NO,SI,SI,SI,NO,NO,SI,NO,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.60727002719233,5793810.818171797
2016,BENCINA,59000,RENAULT,6490000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,MEGANE,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.685773088680273,5836993.045356355
2014,BENCINA,51000,VOLKSWAGEN,10580000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,TIGUAN,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.174475984394427,11147492.774276178
