ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2015,BENCINA,60000,HYUNDAI,11480000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,SANTA FE,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.256116948855695,11167215.088342968
2018,DIESEL,12000,CITROEN,9700000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,C3,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(1000, 15000]","(5000000, 10000000]",16.08763644347361,9247418.303200193
2017,DIESEL,35000,VOLVO,15000000.0,5 o MAS,RM,PARTICULAR,SEDAN,AUTOMATICA,S60,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(10000000, 15000000]",16.523560759066484,15727181.679868855
2015,BENCINA,87000,NISSAN,4800000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,MARCH,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.38412647587812,5067110.534295802
2011,BENCINA,99200,RENAULT,4900000.0,5 o MAS,IX REGION,PARTICULAR,HATCHBACK,MANUAL,MEGANE III,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.404745763080856,5793810.818171797
2014,BENCINA,76269,HONDA,12690000.0,5 o MAS,VI REGION,ASISTIDA,MONOVOLUMEN,AUTOMATICA,PILOT,NO,SI,SI,NO,NO,SI,SI,SI,NO,NO,SI,NO,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.356324839690572,13207786.239853026
2018,BENCINA,7000,VOLKSWAGEN,6590000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,GOL,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(1000, 15000]","(5000000, 10000000]",15.70106390647869,5853792.889846972
2013,BENCINA,80000,MAZDA,5000000.0,5 o MAS,V REGION,PARTICULAR,HATCHBACK,MANUAL,2,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,SI,SI,NO,NO,"(60000, 100000]","(2500000, 5000000]",15.424948470398375,5793810.818171797
2018,BENCINA,30000,KIA,12200000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,AUTOMATICA,CERATO 5,NO,NO,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(10000000, 15000000]",16.316946509703484,12323079.117448913
2016,DIESEL,39000,HYUNDAI,14290000.0,5 o MAS,RM,PARTICULAR,CAMIONETA,AUTOMATICA,TUCSON,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,"(15000, 40000]","(10000000, 15000000]",16.47507054990605,13516613.234476808
2013,BENCINA,73611,RENAULT,4590000.0,4,RM,ASISTIDA,SEDAN,MANUAL,SYMBOL,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.339390582036728,3751340.6663185977
2012,BENCINA,94795,HONDA,7980000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,CR-V,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.892448969425992,7547440.849876728
2014,BENCINA,40000,MAZDA,6150000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,2,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.631962639782701,5793810.818171797
2015,BENCINA,68000,FORD,8890000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,ESCAPE,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,NO,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.00043760749009,9241640.001980443
2014,BENCINA,67000,NISSAN,11490000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,PATHFINDER,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"(60000, 100000]","(10000000, 15000000]",16.25698764982494,11167215.088342968
2013,BENCINA,100000,SAMSUNG,4780000.0,4,RM,ASISTIDA,SEDAN,AUTOMATICA,SM3,NO,NO,SI,SI,SI,NO,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.379951104467638,5067110.534295802
2011,DIESEL,186000,SSANGYONG,6890000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,REXTON,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.74558164298984,7531415.236314787
2016,BENCINA,26716,KIA,5800000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,AUTOMATICA,MORNING,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.573368475516649,5793810.818171797
2015,BENCINA,70000,SUBARU,7290000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,IMPREZA,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.80201410398484,7531415.236314787
2016,BENCINA,29800,SUZUKI,9300000.0,3,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,GRAND VITARA,NO,NO,SI,SI,NO,SI,SI,NO,SI,NO,SI,NO,SI,SI,"(15000, 40000]","(5000000, 10000000]",16.045524958123483,9241640.001980443
2007,BENCINA,153245,VOLKSWAGEN,4890000.0,5 o MAS,RM,,HATCHBACK,AUTOMATICA,GOLF,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.402702861451054,5793810.818171797
2014,BENCINA,104000,NISSAN,8200000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,QASHQAI,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.919644712234481,7585012.572879854
2017,BENCINA,35000,PEUGEOT,9500000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,308,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(5000000, 10000000]",16.06680235657077,9241640.001980443
2018,BENCINA,15500,VOLKSWAGEN,7900000.0,4,RM,PARTICULAR,SEDAN,AUTOMATICA,POLO,NO,NO,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(5000000, 10000000]",15.88237331743725,7536823.400307035
2013,BENCINA,51000,HYUNDAI,6100000.0,5 o MAS,VI REGION,PARTICULAR,HATCHBACK,MANUAL,ACCENT,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.623799329143539,5793810.818171797
2017,BENCINA,49900,CHEVROLET,6990000.0,5 o MAS,RM,,SEDAN,AUTOMATICA,PRISMA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.759991114209994,7531415.236314787
2015,BENCINA,45500,AUDI,16900000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,Q3,NO,SI,SI,SI,SI,NO,NO,SI,NO,NO,SI,SI,SI,SI,"(40000, 60000]","(15000000, 20000000]",16.642824179893303,16309470.86142876
2014,BENCINA,48000,MERCEDES BENZ,12490000.0,4,RM,ASISTIDA,SEDAN,AUTOMATICA,C 180,NO,NO,SI,SI,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.34043888210176,13207786.239853026
2016,BENCINA,24100,JAGUAR,16370000.0,4,RM,ASISTIDA,SEDAN,AUTOMATICA,XE,NO,NO,NO,SI,SI,NO,SI,SI,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(15000000, 20000000]",16.61096094934732,15746219.968528753
2018,BENCINA,3000,CHEVROLET,5950000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,SPARK,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(1000, 15000]","(5000000, 10000000]",15.598901777521812,5793810.818171797
2006,BENCINA,135000,SUBARU,4100000.0,4,RM,PARTICULAR,SEDAN,AUTOMATICA,LEGACY,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.226497531674536,3738327.9627806228
2014,BENCINA,56000,NISSAN,8990000.0,5 o MAS,II REGION,,HATCHBACK,AUTOMATICA,QASHQAI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",16.011623406447804,9241640.001980443
2015,BENCINA,27000,TOYOTA,8300000.0,4,VIII REGION,PARTICULAR,SEDAN,MANUAL,COROLLA,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.931766072766827,7595605.488400567
2017,BENCINA,31000,HONDA,16490000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,CR-V,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(15000, 40000]","(15000000, 20000000]",16.61826469453578,15784926.79506244
2016,BENCINA,48000,VOLKSWAGEN,6490000.0,2,RM,ASISTIDA,PICK UP,MANUAL,SAVEIRO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.685773088680273,5836993.045356355
2011,BENCINA,97000,RENAULT,4250000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,MEGANE,NO,NO,SI,SI,SI,SI,NO,NO,NO,NO,NO,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.2624295409006,3738327.9627806228
2016,BENCINA,47000,MERCEDES BENZ,14990000.0,5 o MAS,IV REGION,PARTICULAR,HATCHBACK,AUTOMATICA,A 200,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.522893870078782,15727181.679868855
2017,BENCINA,9200,KIA,9350000.0,5 o MAS,RM,PARTICULAR,SEDAN,MANUAL,CERATO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,"(1000, 15000]","(5000000, 10000000]",16.05088690126487,9241640.001980443
2015,BENCINA,49300,HONDA,10500000.0,2,RM,PARTICULAR,COUPA,MANUAL,CIVIC,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.166885815127753,11147492.774276178
2014,BENCINA,34000,VOLKSWAGEN,8850000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,TIGUAN,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.995928016984113,9241640.001980443
2014,BENCINA,42000,SUBARU,7480000.0,4,RM,,SEDAN,MANUAL,IMPREZA,NO,NO,SI,NO,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.82774334995066,7531415.236314787
2009,BENCINA,108600,HONDA,5500000.0,4,VII REGION,PARTICULAR,SEDAN,AUTOMATICA,CIVIC,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.520258650202699,5793810.818171797
2015,DIESEL,119000,PEUGEOT,8480000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,2008,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.953221007768086,9218220.246763278
2012,BENCINA,89000,RENAULT,4750000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,SANDERO,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.373655176010823,4777832.650262802
2014,BENCINA,62000,CHEVROLET,7899000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,TRACKER,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.882246727146557,7536823.400307035
2014,BENCINA,46000,MAZDA,6390000.0,4,VIII REGION,,HATCHBACK,MANUAL,MAZDA,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.670244826353718,5804043.104150385
2009,BENCINA,145000,AUDI,10590000.0,3,RM,ASISTIDA,COUPA,MANUAL,TT,NO,NO,SI,NO,SI,SI,NO,NO,SI,NO,SI,NO,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.175420717577587,11147492.774276178
2014,BENCINA,47575,CITROEN,7500000.0,2,RM,ASISTIDA,SEDAN,MANUAL,DS-3,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,NO,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.830413578506539,7531415.236314787
2006,BENCINA,115000,MITSUBISHI,6450000.0,3,RM,PARTICULAR,HATCHBACK,AUTOMATICA,MONTERO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.679590688771956,5836993.045356355
2016,BENCINA,33000,MITSUBISHI,5300000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,MIRAGE,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.483217378522351,5793810.818171797
2014,BENCINA,80000,CHEVROLET,4750000.0,5 o MAS,RM,,HATCHBACK,MANUAL,SPARK,NO,NO,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,"(60000, 100000]","(2500000, 5000000]",15.373655176010823,4777832.650262802
2017,BENCINA,15000,CHEVROLET,6500000.0,5 o MAS,RM,PARTICULAR,SEDAN,MANUAL,PRISMA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(1000, 15000]","(5000000, 10000000]",15.687312734865866,5836993.045356355
2016,BENCINA,22000,KIA,5200000.0,5 o MAS,V REGION,PARTICULAR,HATCHBACK,MANUAL,MORNING,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.464169183551656,5793810.818171797
2018,BENCINA,10000,MAZDA,11390000.0,5 o MAS,V REGION,PARTICULAR,HATCHBACK,MANUAL,3 SPORT,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,NO,NO,SI,SI,"(1000, 15000]","(10000000, 15000000]",16.248246335423364,11147492.774276178
2015,DIESEL,60700,PEUGEOT,9990000.0,5 o MAS,RM,,HATCHBACK,MANUAL,308,SI,SI,NO,SI,SI,NO,SI,NO,NO,NO,NO,SI,NO,NO,"(60000, 100000]","(5000000, 10000000]",16.117095150624735,9309667.617617149
2014,DIESEL,76000,PEUGEOT,6400000.0,4,X REGION,PARTICULAR,SEDAN,MANUAL,301,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.671808548329901,5804043.104150385
2013,BENCINA,103000,TOYOTA,8000000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,RAV-4,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.89495209964411,7547440.849876728
2017,BENCINA,26000,DODGE,17990000.0,3,RM,,CAMIONETA,AUTOMATICA,RAM 1500,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,"(15000, 40000]","(15000000, 20000000]",16.705326605926714,18483932.345515523
2012,BENCINA,87000,DODGE,10780000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,DURANGO,SI,NO,SI,NO,SI,NO,NO,SI,SI,NO,SI,NO,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.193203123445127,11147492.774276178
2015,DIESEL,81000,MITSUBISHI,15990000.0,3,RM,PARTICULAR,PICK UP,AUTOMATICA,MONTERO,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(15000000, 20000000]",16.587474084810136,15727181.679868855
2013,BENCINA,61400,RENAULT,6760000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,KOLEOS,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.726533448019147,7438612.824950156
2015,BENCINA,72000,HYUNDAI,6780000.0,5 o MAS,RM,,HATCHBACK,MANUAL,ACCENT,NO,NO,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,SI,NO,"(60000, 100000]","(5000000, 10000000]",15.729487659916579,7514105.567975189
2010,BENCINA,81000,CHEVROLET,6700000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,CAPTIVA,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.717618084361195,6407654.483947863
2011,DIESEL,89000,SSANGYONG,6490000.0,5 o MAS,RM,,MONOVOLUMEN,MANUAL,KORANDO,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.685773088680273,5836993.045356355
2018,DIESEL,12000,CITROEN,16500000.0,5 o MAS,II REGION,PARTICULAR,HATCHBACK,AUTOMATICA,C4,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(1000, 15000]","(15000000, 20000000]",16.61887093887081,15784926.79506244
2015,BENCINA,28000,SKODA,10480000.0,5 o MAS,RM,,HATCHBACK,AUTOMATICA,FABIA,NO,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO,NO,SI,NO,"(15000, 40000]","(10000000, 15000000]",16.16497923685717,11147492.774276178
2016,BENCINA,42000,MAZDA,12180000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,CX-5,NO,NO,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.315305820246024,12275020.142549274
2018,BENCINA,15000,TOYOTA,8490000.0,4,RM,ASISTIDA,SEDAN,AUTOMATICA,YARIS,NO,NO,SI,SI,SI,SI,SI,SI,NO,NO,SI,NO,SI,SI,"(1000, 15000]","(5000000, 10000000]",15.95439955828753,9218220.246763278
2013,BENCINA,56000,KIA,7990000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,SPORTAGE,NO,NO,SI,SI,SI,NO,SI,NO,SI,NO,SI,NO,SI,NO,"(40000, 60000]","(5000000, 10000000]",15.893701317742458,7547440.849876728
2013,BENCINA,96000,DODGE,8390000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,JOURNEY,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.942551078443389,8243213.763592065
2016,BENCINA,49000,TOYOTA,10290000.0,5 o MAS,RM,,HATCHBACK,MANUAL,AURIS,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.146683107810233,11017252.72221404
2011,BENCINA,112741,SAMSUNG,3800000.0,4,RM,PARTICULAR,SEDAN,MANUAL,SM3,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.150511624696614,3738327.9627806228
2011,DIESEL,126000,PEUGEOT,8000000.0,4,V REGION,PARTICULAR,CAMIONETA,MANUAL,EXPERT,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.89495209964411,7547440.849876728
2014,BENCINA,30500,SUZUKI,5200000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,SWIFT,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(5000000, 10000000]",15.464169183551656,5793810.818171797
2016,BENCINA,28000,KIA,14980000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,SORENTO,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(10000000, 15000000]",16.52222653605335,15727181.679868855
2013,BENCINA,57000,AUDI,8990000.0,4,RM,PARTICULAR,SEDAN,AUTOMATICA,A4,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(40000, 60000]","(5000000, 10000000]",16.011623406447804,9241640.001980443
2008,BENCINA,176000,MITSUBISHI,3000000.0,4,RM,PARTICULAR,SEDAN,MANUAL,LANCER,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",14.914122846632385,3738327.9627806228
2018,BENCINA,8030,CHEVROLET,19590000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,EQUINOX,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(1000, 15000]","(15000000, 20000000]",16.790529789920722,18483932.345515523
2014,DIESEL,98000,NISSAN,7280000.0,4,RM,,CAMIONETA,MANUAL,NAVARA,NO,NO,SI,SI,SI,NO,NO,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.80064142017287,7531415.236314787
2008,BENCINA,130000,HYUNDAI,5590000.0,5 o MAS,RM,ASISTIDA,FAMILIAR,MANUAL,TUCSON,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.536489845131282,5793810.818171797
2016,BENCINA,55000,HYUNDAI,8980000.0,4,RM,,SEDAN,MANUAL,ELANTRA,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",16.01051044027838,9241640.001980443
2014,GASOLINA,46000,BMW,15150000.0,,,,,AUTOMATICA,520I EXECUTIVE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"(40000, 60000]","(15000000, 20000000]",16.533511089919653,15727181.679868855
2015,BENCINA,48500,MERCEDES BENZ,19500000.0,5 o MAS,RM,PARTICULAR,SEDAN,AUTOMATICA,C 250,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(15000000, 20000000]",16.785925023533974,18483932.345515523
2012,BENCINA,125000,FORD,10980000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,EDGE,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.21158599404566,11147492.774276178
2011,BENCINA,162900,VOLKSWAGEN,3400000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,GOL,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(2500000, 5000000]",15.03928598958639,3738327.9627806228
2016,BENCINA,44150,MAZDA,12500000.0,4,RM,PARTICULAR,FAMILIAR,AUTOMATICA,CX-5,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.34123920227253,13207786.239853026
2016,DIESEL,73967,HYUNDAI,12300000.0,5 o MAS,IV REGION,ASISTIDA,MONOVOLUMEN,MANUAL,TUCSON,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.325109820342647,12964971.592633026
2017,BENCINA,65000,JEEP,11380000.0,5 o MAS,RM,,FAMILIAR,AUTOMATICA,COMPASS,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,SI,NO,"(60000, 100000]","(10000000, 15000000]",16.24736798666246,11147492.774276178
2014,DIESEL,96067,VOLKSWAGEN,12300000.0,4,RM,,PICK UP,MANUAL,AMAROK,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,NO,NO,"(60000, 100000]","(10000000, 15000000]",16.325109820342647,12964971.592633026
2016,BENCINA,80000,FAW,3690000.0,4,VI REGION,,UTILITARIO,MANUAL,V80,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.12113701601671,3738327.9627806228
2016,BENCINA,81000,CHEVROLET,8890000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,MANUAL,TRACKER,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.00043760749009,9241640.001980443
2015,BENCINA,62300,NISSAN,12700000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,PATHFINDER,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.35711255142882,13207786.239853026
2011,BENCINA,99000,NISSAN,4950000.0,4,VIII REGION,PARTICULAR,SEDAN,AUTOMATICA,SENTRA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.414898134544874,5793810.818171797
2010,BENCINA,52200,NISSAN,13590000.0,3,RM,ASISTIDA,COUPA,AUTOMATICA,370Z,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.424844786127327,13207786.239853026
2016,BENCINA,32000,AUDI,10500000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,A3,NO,NO,SI,SI,SI,NO,NO,SI,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(10000000, 15000000]",16.166885815127753,11147492.774276178
2012,BENCINA,43000,VOLKSWAGEN,6990000.0,4,RM,,SEDAN,MANUAL,VENTO,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.759991114209994,7531415.236314787
2008,BENCINA,155000,MERCEDES BENZ,9950000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,ML 350,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,"(100000, 250000]","(5000000, 10000000]",16.113083109134777,9309667.617617149
2013,BENCINA,136000,NISSAN,5190000.0,4,RM,ASISTIDA,SEDAN,MANUAL,TIIDA,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.462244255142071,5793810.818171797
