ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2013;NEGRO;DIESEL;CURICO;USADO;145000;MAHINDRA;6000000;5 o MAS;VII REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;SCORPIO;29;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI
2012;BLANCO;BENCINA;CURICO;USADO;87000;HYUNDAI;5500000;5 o MAS;VII REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;ACCENT;27;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2015;NEGRO;BENCINA;CONCEPCION;USADO;62000;JEEP;9600000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;COMPASS;42;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2009;GRIS;BENCINA;OTRA UBICACION;USADO;156000;PORSCHE;9300000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;CAYENNE;24;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2008;OTRO;BENCINA;SANTIAGO;USADO;150000;TOYOTA;4500000;4;RM;PARTICULAR;SEDAN;HIDRAULICA;;AUTOMATICA;YARIS;20;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;24000;CHEVROLET;24300000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;SILVERADO;34;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2013;PLATEADO;BENCINA;SANTIAGO;USADO;73000;VOLVO;9900000;4;RM;PARTICULAR;SEDAN;HIDRAULICA;;AUTOMATICA;S60;75;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2014;BLANCO;DIESEL;QUILPUE;USADO;23000;NISSAN;10990000;4;V REGION;PARTICULAR;PICK UP;MECANICA;;MANUAL;NAVARA;18;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2009;BLANCO;BENCINA;SANTIAGO;USADO;101000;TOYOTA;4300000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;MANUAL;YARIS;16;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2016;BLANCO;BENCINA;SAN RAMON;USADO;35000;HYUNDAI;5200000;4;RM;PARTICULAR;SEDAN;HIDRAULICA;;MANUAL;GRAND I10;44;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
