ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2007;OTRO;BENCINA;SANTIAGO;USADO;160000;TOYOTA;3800000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;YARIS;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI;SI
2017;OTRO;DIESEL;LINARES;USADO;22000;CITROEN;9650000;5 o MAS;VII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;C3;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;62300;SUBARU;14150000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;BRZ;67;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;95000;SKODA;5650000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;OCTAVIA;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;64000;FORD;5900000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FIESTA;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;17000;FORD;23500000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;MUSTANG;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2014;OTRO;BENCINA;QUILLOTA;USADO;89000;MAZDA;7500000;5 o MAS;V REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;3;21;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;32500;NISSAN;17750000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;NP300;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;ROJO;BENCINA;SANTIAGO;USADO;100000;PEUGEOT;2600000;5 o MAS;RM;PARTICULAR;PICK UP;MECANICA;;MANUAL;206;0;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;42000;HYUNDAI;9990000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CRETA;27;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;27540;HONDA;23950000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;PILOT;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2018;ROJO;BENCINA;SANTIAGO;USADO;14000;FORD;25990000;2;RM;PARTICULAR;COUPA;ASISTIDA;;AUTOMATICA;MUSTANG;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2015;BLANCO;BENCINA;SANTIAGO;USADO;43000;VOLKSWAGEN;11950000;3;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;SCIROCCO;15;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2007;OTRO;BENCINA;SANTIAGO;USADO;200000;SUBARU;5500000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;TRIBECA;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;SANTIAGO;USADO;65000;KIA;5500000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;MORNING;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;SANTIAGO;USADO;32000;FORD;8800000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;ECOSPORT;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;49000;MAZDA;16000000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;BT 50;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;DIESEL;RANCAGUA;USADO;27000;BMW;25000000;5 o MAS;VI REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;X3;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;62300;SUBARU;14150000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;BRZ;67;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2015;OTRO;BENCINA;SANTIAGO;USADO;87000;HYUNDAI;10650000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;SANTA FE;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;17000;FORD;23500000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;MUSTANG;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2018;ROJO;BENCINA;SANTIAGO;USADO;14000;FORD;25990000;2;RM;PARTICULAR;COUPA;ASISTIDA;;AUTOMATICA;MUSTANG;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2018;BLANCO;BENCINA;COBQUECURA;USADO;19800;PEUGEOT;11990000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;2008;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2015;OTRO;DIESEL;OTRA UBICACION;USADO;62000;MAZDA;13390000;4;X REGION;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;BT 50;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2018;OTRO;BENCINA;SANTIAGO;USADO;23400;SUBARU;15790000;5 o MAS;RM;PARTICULAR;FAMILIAR;ASISTIDA;;AUTOMATICA;OUTBACK;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;97000;AUDI;10000000;2;RM;PARTICULAR;COUPA;HIDRAULICA;;AUTOMATICA;A5;64;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;70000;AUDI;12900000;3;RM;PARTICULAR;COUPA;HIDRAULICA;;AUTOMATICA;TT;2;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2012;OTRO;DIESEL;SANTIAGO;USADO;130000;SSANGYONG;5950000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;ACTYON SPORTS;2;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2013;NEGRO;DIESEL;SANTIAGO;USADO;91538;MITSUBISHI;12200000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;MONTERO SPORT;17;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;OTRO;BENCINA;COLINA;USADO;136000;MITSUBISHI;3999900;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;OUTLANDER;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2012;OTRO;BENCINA;CONCEPCION;USADO;117500;SUZUKI;3000000;5 o MAS;VIII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;CELERIO;1;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;87000;TOYOTA;13000000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;HILUX;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;LOS ANGELES;USADO;61870;SUBARU;12499999;5 o MAS;VIII REGION;PARTICULAR;FAMILIAR;HIDRAULICA;;AUTOMATICA;OUTBACK;8;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;BLANCO;BENCINA;TOME;USADO;135000;SUZUKI;5500000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2010;BLANCO;BENCINA;TOME;USADO;135000;SUZUKI;5500000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2014;OTRO;BENCINA;LAS CONDES;USADO;36000;BMW;16980000;2;RM;PARTICULAR;COUPA;HIDRAULICA;;AUTOMATICA;420;28;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2008;GRIS;BENCINA;TEMUCO;USADO;121000;SUZUKI;5200000;5 o MAS;IX REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;35800;CHEVROLET;6500000;5 o MAS;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;ONIX;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2010;OTRO;BENCINA;SANTIAGO;USADO;66000;HYUNDAI;9500000;2;RM;PARTICULAR;COUPA;ASISTIDA;;MANUAL;GENESIS;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2014;BLANCO;BENCINA;SANTIAGO;USADO;99400;MERCEDES BENZ;14280000;2;RM;PARTICULAR;COUPA;HIDRAULICA;;AUTOMATICA;C 250;9;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2006;OTRO;BENCINA;SANTIAGO;USADO;162000;SUBARU;4900000;5 o MAS;RM;PARTICULAR;FAMILIAR;ASISTIDA;;AUTOMATICA;OUTBACK;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2015;OTRO;DIESEL;SANTIAGO;USADO;297500;PEUGEOT;8950000;5 o MAS;RM;PARTICULAR;UTILITARIO;HIDRAULICA;;MANUAL;EXPERT;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2007;ROJO;BENCINA;SANTIAGO;USADO;110000;ALFA ROMEO;8500000;3;RM;PARTICULAR;COUPA;HIDRAULICA;;MANUAL;BRERA;5;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2013;OTRO;BENCINA;OTRA UBICACION;USADO;107586;SKODA;4500000;5 o MAS;X REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FABIA;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;OTRO;BENCINA;SANTIAGO;USADO;70000;PEUGEOT;6500000;2;RM;PARTICULAR;CONVERTIBLE;ASISTIDA;;MANUAL;207;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2016;BLANCO;BENCINA;OTRA UBICACION;USADO;88000;TOYOTA;10900000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;RAV-4;15;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2011;BLANCO;BENCINA;SANTIAGO;USADO;162900;VOLKSWAGEN;3400000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;GOL;2;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2000;OTRO;BENCINA;LAS CONDES;;39000;MERCEDES BENZ;8590000;2;RM;ASISTIDA;COUPA;;;AUTOMATICA;CLK 320;10;NO;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2012;GRIS;BENCINA;SANTIAGO;USADO;65000;MAZDA;7190000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CX 7;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2012;OTRO;BENCINA;SANTIAGO;;92116;MERCEDES BENZ;8990000;2;RM;;COUPA;;;AUTOMATICA;C 180;13;NO;NO;SI;NO;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2007;OTRO;BENCINA;SANTIAGO;USADO;160000;TOYOTA;3800000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;YARIS;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI;SI
2017;OTRO;DIESEL;LINARES;USADO;22000;CITROEN;9650000;5 o MAS;VII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;C3;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2014;OTRO;BENCINA;MACUL;;75500;KIA;7490000;2;RM;;COUPA;;;MANUAL;KOUP;3;SI;NO;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;95000;SKODA;5650000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;OCTAVIA;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;SANTIAGO;USADO;64000;FORD;5900000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FIESTA;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;AMARILLO;BENCINA;VITACURA;;18000;FORD;21490000;2;RM;ASISTIDA;COUPA;;;AUTOMATICA;MUSTANG;11;NO;NO;SI;SI;SI;SI;SI;NO;SI;NO;NO;SI;SI;SI
2014;OTRO;BENCINA;QUILLOTA;USADO;89000;MAZDA;7500000;5 o MAS;V REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;3;21;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;32500;NISSAN;17750000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;NP300;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;ROJO;BENCINA;SANTIAGO;USADO;100000;PEUGEOT;2600000;5 o MAS;RM;PARTICULAR;PICK UP;MECANICA;;MANUAL;206;0;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;42000;HYUNDAI;9990000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CRETA;27;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;27540;HONDA;23950000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;PILOT;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2008;OTRO;BENCINA;LAS CONDES;;76000;JAGUAR;16580000;2;RM;;COUPA;;;AUTOMATICA;XK;6;NO;NO;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;NO
2015;BLANCO;BENCINA;SANTIAGO;USADO;43000;VOLKSWAGEN;11950000;3;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;SCIROCCO;15;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2007;OTRO;BENCINA;SANTIAGO;USADO;200000;SUBARU;5500000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;TRIBECA;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;SANTIAGO;USADO;65000;KIA;5500000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;MORNING;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;SANTIAGO;USADO;32000;FORD;8800000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;ECOSPORT;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;49000;MAZDA;16000000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;AUTOMATICA;BT 50;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;DIESEL;RANCAGUA;USADO;27000;BMW;25000000;5 o MAS;VI REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;X3;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2012;BLANCO;BENCINA;PROVIDENCIA;;88000;MERCEDES BENZ;10300000;2;RM;;COUPA;;;AUTOMATICA;C 180;15;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;SI;NO
2015;OTRO;BENCINA;SANTIAGO;USADO;87000;HYUNDAI;10650000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;SANTA FE;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;OTRO;BENCINA;VITACURA;;69000;BMW;10990000;2;RM;ASISTIDA;COUPA;;;AUTOMATICA;330;4;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;NO
2017;OTRO;BENCINA;LAS CONDES;;12000;BMW;27190000;2;RM;;COUPA;;;AUTOMATICA;240I;29;NO;NO;SI;SI;SI;NO;NO;SI;NO;NO;NO;NO;SI;NO
2018;BLANCO;BENCINA;COBQUECURA;USADO;19800;PEUGEOT;11990000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;2008;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2015;OTRO;DIESEL;OTRA UBICACION;USADO;62000;MAZDA;13390000;4;X REGION;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;BT 50;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2018;OTRO;BENCINA;SANTIAGO;USADO;23400;SUBARU;15790000;5 o MAS;RM;PARTICULAR;FAMILIAR;ASISTIDA;;AUTOMATICA;OUTBACK;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2012;GRIS;BENCINA;LAS CONDES;;64910;MERCEDES BENZ;11490000;2;RM;;COUPA;;;AUTOMATICA;E 200;35;NO;NO;NO;NO;NO;NO;NO;SI;SI;NO;SI;NO;NO;SI
2007;PLATEADO;BENCINA;LAS CONDES;;117585;BMW;11000000;3;RM;;COUPA;;;AUTOMATICA;645;28;NO;NO;SI;NO;NO;NO;NO;SI;SI;NO;NO;NO;NO;NO
2012;OTRO;DIESEL;SANTIAGO;USADO;130000;SSANGYONG;5950000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;ACTYON SPORTS;2;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2013;NEGRO;DIESEL;SANTIAGO;USADO;91538;MITSUBISHI;12200000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;MANUAL;MONTERO SPORT;17;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;OTRO;BENCINA;COLINA;USADO;136000;MITSUBISHI;3999900;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;OUTLANDER;1;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2012;OTRO;BENCINA;CONCEPCION;USADO;117500;SUZUKI;3000000;5 o MAS;VIII REGION;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;CELERIO;2;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI
2016;OTRO;DIESEL;SANTIAGO;USADO;87000;TOYOTA;13000000;4;RM;PARTICULAR;PICK UP;HIDRAULICA;;MANUAL;HILUX;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2015;OTRO;BENCINA;LOS ANGELES;USADO;61870;SUBARU;12499999;5 o MAS;VIII REGION;PARTICULAR;FAMILIAR;HIDRAULICA;;AUTOMATICA;OUTBACK;8;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;BLANCO;BENCINA;TOME;USADO;135000;SUZUKI;5500000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2010;BLANCO;BENCINA;TOME;USADO;135000;SUZUKI;5500000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;1;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;;16000;KIA;8900000;2;RM;;COUPA;;;MANUAL;KOUP;9;NO;NO;SI;SI;SI;NO;SI;SI;SI;NO;SI;SI;SI;SI
2008;GRIS;BENCINA;TEMUCO;USADO;121000;SUZUKI;5200000;5 o MAS;IX REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;GRAND NOMADE;4;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;OTRO;BENCINA;SANTIAGO;USADO;35800;CHEVROLET;6500000;5 o MAS;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;ONIX;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2007;OTRO;BENCINA;LAS CONDES;;160000;BMW;10900000;2;RM;ASISTIDA;COUPA;;;AUTOMATICA;630;2;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;SI;SI
2015;OTRO;BENCINA;NUNOA;;20000;BMW;19180000;3;RM;;COUPA;;;AUTOMATICA;135;4;NO;SI;SI;SI;SI;NO;SI;SI;SI;NO;SI;SI;SI;SI
2006;OTRO;BENCINA;SANTIAGO;USADO;162000;SUBARU;4900000;5 o MAS;RM;PARTICULAR;FAMILIAR;ASISTIDA;;AUTOMATICA;OUTBACK;0;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2015;OTRO;DIESEL;SANTIAGO;USADO;297500;PEUGEOT;8950000;5 o MAS;RM;PARTICULAR;UTILITARIO;HIDRAULICA;;MANUAL;EXPERT;0;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;LAS CONDES;;97000;BMW;9890000;2;RM;ASISTIDA;COUPA;;;AUTOMATICA;120;6;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;SI;NO
2013;OTRO;BENCINA;OTRA UBICACION;USADO;107586;SKODA;4500000;5 o MAS;X REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FABIA;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;OTRO;BENCINA;SANTIAGO;USADO;70000;PEUGEOT;6500000;2;RM;PARTICULAR;CONVERTIBLE;ASISTIDA;;MANUAL;207;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2016;BLANCO;BENCINA;OTRA UBICACION;USADO;88000;TOYOTA;10900000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;RAV-4;15;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2011;BLANCO;BENCINA;SANTIAGO;USADO;162900;VOLKSWAGEN;3400000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;GOL;2;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2018;GRIS;BENCINA;VITACURA;PRIMER DUENO;22000;BMW;25980000;2;RM;;COUPA;;;AUTOMATICA;420;6;NO;NO;SI;NO;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO
2012;GRIS;BENCINA;SANTIAGO;USADO;65000;MAZDA;7190000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;CX 7;3;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2013;OTRO;BENCINA;VITACURA;;61265;BMW;15790000;4;RM;;COUPA;;;AUTOMATICA;135;5;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
2018;OTRO;BENCINA;LO BARNECHEA;;17000;MINI;17980000;3;RM;ASISTIDA;COUPA;;;AUTOMATICA;COOPER S F56 2.0 AUT;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2013;OTRO;BENCINA;OTRA UBICACION;USADO;107586;SKODA;4500000;5 o MAS;X REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FABIA;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2010;OTRO;BENCINA;SANTIAGO;USADO;70000;PEUGEOT;6500000;2;RM;PARTICULAR;CONVERTIBLE;ASISTIDA;;MANUAL;207;2;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2016;BLANCO;BENCINA;OTRA UBICACION;USADO;88000;TOYOTA;10900000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;RAV-4;15;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2011;BLANCO;BENCINA;SANTIAGO;USADO;162900;VOLKSWAGEN;3400000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;GOL;2;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2018;OTRO;BENCINA;VITACURA;;4500;MERCEDES BENZ;134990000;3;RM;ASISTIDA;COUPA;;;AUTOMATICA;AMG GT;37;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO
